file name;type;recorded by;recorded with
Doorbell_d01;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d02;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d03;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d04;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d05;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d06;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d07;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d08;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d09;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d10;WAV 16bit PCM signed;Daniel;iPhone 4s
Doorbell_d11;WAV 16bit PCM signed;Daniel;iPhone 4s